 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  17. 6.    Time:   0: 6:38
 Units: L = cm   , T = days , M = mmol 


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

  62  -122.0000    -332.369 0.3615   0.5474E-01  0.2004E-03 -0.2308E+00  0.1305E-02      -1  -0.103E-01   20.00
  63  -124.0000    -332.369 0.3615   0.5474E-01  0.2004E-03 -0.5474E-01  0.1305E-02      -1  -0.245E-02   20.00
  64  -126.0000    -332.369 0.3615   0.5474E-01  0.2004E-03 -0.5474E-01  0.1305E-02      -1  -0.245E-02   20.00
  65  -128.0000    -332.369 0.3615   0.5474E-01  0.2004E-03 -0.5474E-01  0.1305E-02      -1  -0.245E-02   20.00
  66  -130.0000    -332.369 0.3615   0.5474E-01  0.2004E-03 -0.5474E-01  0.1305E-02      -1  -0.245E-02   20.00
  67  -132.0000    -332.369 0.3615   0.5474E-01  0.2004E-03 -0.5474E-01  0.1305E-02      -1  -0.245E-02   20.00
  68  -134.0000    -332.369 0.3615   0.5474E-01  0.2004E-03 -0.5474E-01  0.1305E-02      -1  -0.245E-02   20.00
  69  -136.0000    -332.369 0.3615   0.5474E-01  0.2004E-03 -0.5474E-01  0.1305E-02      -1  -0.245E-02   20.00
  70  -138.0000    -332.369 0.3615   0.5474E-01  0.2004E-03 -0.5474E-01  0.1305E-02      -1  -0.245E-02   20.00
  71  -140.0000    -332.369 0.3615   0.5474E-01  0.2004E-03 -0.5474E-01  0.1305E-02      -1  -0.245E-02   20.00
  72  -142.0000    -332.369 0.3615   0.5474E-01  0.2004E-03 -0.5474E-01  0.1305E-02      -1  -0.245E-02   20.00
  73  -144.0000    -332.369 0.3615   0.5474E-01  0.2004E-03 -0.5474E-01  0.1305E-02      -1  -0.245E-02   20.00
  74  -146.0000    -332.369 0.3615   0.5474E-01  0.2004E-03 -0.5474E-01  0.1305E-02      -1  -0.245E-02   20.00
  75  -148.0000    -332.369 0.3615   0.5474E-01  0.2004E-03 -0.5474E-01  0.1305E-02      -1  -0.245E-02   20.00
  76  -150.0000    -332.369 0.3615   0.5474E-01  0.2004E-03 -0.5474E-01  0.1305E-02      -1  -0.245E-02   20.00
  77  -152.0000    -332.369 0.3615   0.5474E-01  0.2004E-03 -0.5474E-01  0.1305E-02      -1  -0.245E-02   20.00
  78  -154.0000    -332.369 0.3615   0.5474E-01  0.2004E-03 -0.5474E-01  0.1305E-02      -1  -0.245E-02   20.00
  79  -156.0000    -332.369 0.3615   0.5474E-01  0.2004E-03 -0.5474E-01  0.1305E-02      -1  -0.245E-02   20.00
  80  -158.0000    -332.369 0.3615   0.5474E-01  0.2004E-03 -0.5474E-01  0.1305E-02      -1  -0.245E-02   20.00
  81  -160.0000    -332.369 0.3615   0.5474E-01  0.2004E-03 -0.5474E-01  0.1305E-02      -1  -0.245E-02   20.00
  82  -162.0000    -332.369 0.3615   0.5474E-01  0.2004E-03 -0.5474E-01  0.1305E-02      -1  -0.245E-02   20.00
  83  -164.0000    -332.369 0.3615   0.5474E-01  0.2004E-03 -0.5474E-01  0.1305E-02      -1  -0.245E-02   20.00
  84  -166.0000    -332.369 0.3615   0.5474E-01  0.2004E-03 -0.5474E-01  0.1305E-02      -1  -0.245E-02   20.00
  85  -168.0000    -332.369 0.3615   0.5474E-01  0.2004E-03 -0.5474E-01  0.1305E-02      -1  -0.245E-02   20.00
  86  -170.0000    -332.369 0.3615   0.5474E-01  0.2004E-03 -0.5474E-01  0.1305E-02      -1  -0.245E-02   20.00
  87  -172.0000    -332.369 0.3615   0.5474E-01  0.2004E-03 -0.5474E-01  0.1305E-02      -1  -0.245E-02   20.00
  88  -174.0000    -332.369 0.3615   0.5474E-01  0.2004E-03 -0.5474E-01  0.1305E-02      -1  -0.245E-02   20.00
  89  -176.0000    -332.369 0.3615   0.5474E-01  0.2004E-03 -0.5474E-01  0.1305E-02      -1  -0.245E-02   20.00
  90  -178.0000    -332.369 0.3615   0.5474E-01  0.2004E-03 -0.5474E-01  0.1305E-02      -1  -0.245E-02   20.00
  91  -180.0000    -332.369 0.3615   0.5474E-01  0.2004E-03 -0.5474E-01  0.1305E-02      -1  -0.245E-02   20.00
  92  -182.0000    -332.369 0.3615   0.5474E-01  0.2004E-03 -0.5474E-01  0.1305E-02      -1  -0.245E-02   20.00
  93  -184.0000    -332.369 0.3615   0.5474E-01  0.2004E-03 -0.5474E-01  0.1305E-02      -1  -0.245E-02   20.00
  94  -186.0000    -332.369 0.3615   0.5474E-01  0.2004E-03 -0.5474E-01  0.1305E-02      -1  -0.245E-02   20.00
  95  -188.0000    -332.369 0.3615   0.5474E-01  0.2004E-03 -0.5474E-01  0.1305E-02      -1  -0.245E-02   20.00
  96  -190.0000    -332.369 0.3615   0.5474E-01  0.2004E-03 -0.5474E-01  0.1305E-02      -1  -0.245E-02   20.00
  97  -192.0000    -332.369 0.3615   0.5474E-01  0.2004E-03 -0.5474E-01  0.1305E-02      -1  -0.245E-02   20.00
  98  -194.0000    -332.369 0.3615   0.5474E-01  0.2004E-03 -0.5474E-01  0.1305E-02      -1  -0.245E-02   20.00
